name	lon	lat	country	country_code	display_name	west	south	east	north
France	1.8753098	46.7995347	France	fr	France	-5.225	41.333	9.55	51.2
United States of America	-99.0090672	36.81843	United States of America	us	United States of America	144.4129186	-14.7608359	-64.35549	71.6048216
Germany	10.5917075	51.1850012	Germany	de	Germany	5.8663153	47.2701114	15.0419319	55.099161
Italy	14.1885945	41.7035189	Italy	it	Italy	6.6272658	35.2889616	18.7844745	47.0921461
Japan	142.9514467	43.4339535	Japan	jp	Japan	122.7141754	20.214581	154.205541	45.7112045
Russia	93.21302	61.3352107	Russia	ru	Russia	19.4141518	41.1858711	-168.9769445	82.0586232
Spain	-2.9459282	39.9648614	Spain	es	Spain	-18.3936846	27.4335426	4.5918885	43.9933088
Poland	19.195473	52.0179354	Poland	pl	Poland	14.1229707	49.0020468	24.145783	55.0336962
Canada	-102.3022254	62.5063365	Canada	ca	Canada	-141.0027501	41.6765556	-52.3231981	83.3362128
England	-0.5402403	52.795479	United Kingdom	gb	England, United Kingdom	-6.7047494	49.674	2.0919117	55.917
Brazil	-49.6160669	-14.298	Brazil	br	Brazil	-73.9830625	-33.8689056	-28.6341164	5.2842872
Australia	133.3619535	-26.7193232	Australia	au	Australia	72.2460937	-55.3228176	168.2249542	-9.0882278
Paris	2.320031	48.85881	France	fr	Paris, Ile-de-France, Metropolitan France, France	2.224122	48.8155755	2.4697602	48.9021559
Paris	2.320031	48.85881	France	fr	Paris, Paris, Paris, Ile-de-France, Metropolitan France, France	2.224122	48.8155755	2.4697602	48.9021559
United Kingdom	-3.9614185	55.367	United Kingdom	gb	United Kingdom	-14.015517	49.674	2.0919117	61.061
Sweden	15.1871642	62.0924094	Sweden	se	Sweden	10.5930951	55.1331192	24.1776819	69.0599699
London	-0.1440551	51.4893334	United Kingdom	gb	London, Greater London, England, United Kingdom	-0.5103751	51.2867602	0.3340154	51.6918741
Switzerland	8.4449473	46.8133312	Switzerland	ch	Switzerland	5.9559113	45.8179949	10.492294	47.8084648
Europe	10	50.9999999			Europe	10	50.9999999	10	50.9999999
India	79.0221873	21.7616157	India	in	India	68.1113787	6.5546078	97.3955609	35.6745456
Netherlands	5.5346073	52.237989	The Netherlands	nl	Netherlands	-68.6255319	11.8249999	7.2274985	53.7253321
Austria	14.7548063	47.6964098	Austria	at	Austria	9.5307487	46.372276	17.1607759	49.0205263
Ukraine	34.0028598	48.2818385	Ukraine	ua	Ukraine	22.1370589	44.184598	40.2275801	52.3791472
Belgium	4.8542695	50.5243338	Belgium	be	Belgium	2.3889137	49.496982	6.4080969	51.5516666
California	-120.0251381	37.2702599	United States of America	us	California, United States of America	-124.4820031	32.5295235	-114.1307816	42.0094989
Norway	16.6055824	78.5124025	Norway	no	Norway	-9.6848147	-54.654	34.6891252	81.028076
Norway	11.5280364	64.5731536	Norway	no	Norway, Norway	4.0875273	57.7590051	31.7614911	71.3848787
Romania	24.3030241	45.9410443	Romania	ro	Romania	20.2619773	43.6186819	30.0454257	48.2653963
Turkey	35.4495026	39.0520984	Turkey	tr	Turkey	25.621289	35.8076803	44.8176637	42.297
Mexico	-102.26752	23.553573	Mexico	mx	Mexico	-118.5991901	14.3886242	-86.4932661	32.7186552
Argentina	-64.341818	-38.4836215	Argentina	ar	Argentina	-73.6166667	-55.1850762	-53.6374515	-21.781168
Portugal	-8.5607918	39.4301247	Portugal	pt	Portugal	-31.5575304	29.8288021	-6.1891594	42.1543112
Denmark	9.4580626	56.2010656	Denmark	dk	Denmark	7.7153255	54.4516667	15.553064	57.9524296
Finland	26.989902	64.7696261	Finland	fi	Finland	19.0832098	59.4541577	31.586707	70.0922939
Hungary	19.1356823	47.1612473	Hungary	hu	Hungary	16.1138867	45.7371279	22.8977094	48.585257
Indonesia	120.1998098	-2.4959297	Indonesia	id	Indonesia	94.7717123	-11.208567	141.0194444	6.2744496
Africa	15.9999997	2.0000003			Africa	15.9999997	2.0000003	15.9999997	2.0000003
Berlin	13.3973711	52.5068829	Germany	de	Berlin, Germany	13.08835	52.33826	13.76116	52.67551
Israel	34.6335839	31.3945739	Israel	il	Israel	34.2674993	29.4533796	35.8950234	33.3356317
Iran	54.1688344	32.3141414	Iran	ir	Iran	44.0318907	24.8465102	63.3332703	39.7816502
Czechia	15.5281185	49.8037838	Czech Republic	cz	Czechia	12.09059	48.5518082	18.859216	51.0557036
Moscow	37.3561001	55.549875	Russia	ru	Moscow, Central Federal District, Russia	36.8031012	55.1421745	37.9674276	56.0212237
Scotland	-4.8111563	57.7475	United Kingdom	gb	Scotland, United Kingdom	-14.015517	54.4339903	-0.3209222	61.061
Egypt	29.61556	26.9182362	Egypt	eg	Egypt	24.6499112	21.9999975	37.1153517	31.8330854
Bulgaria	25.3361996	42.7257215	Bulgaria	bg	Bulgaria	22.3571458	41.2353929	28.8875408	44.2162875
Croatia	15.1338113	44.366563	Croatia	hr	Croatia	13.2104813	42.1765992	19.4470842	46.5550289
Logo	9.2074675	7.6671712	Nigeria	ng	Logo, Benue, Nigeria	9.0195141	7.441247	9.4528322	7.886631
Slovakia	19.6367942	48.6726975	Slovakia	sk	Slovakia	16.833189	47.7314285	22.56571	49.6138161
Chile	-72.4583539	-36.8387295	Chile	cl	Chile	-109.6795789	-56.7250001	-66.0753474	-17.4983998
Philippines	122.4831733	12.763093	Philippines	ph	Philippines	114.0952145	4.2158063	126.8072562	21.3217806
Colombia	-72.7709916	4.215506	Colombia	co	Colombia	-82.1243666	-4.2316873	-66.8511907	16.0571269
Vienna	16.3712159	48.2202097	Austria	at	Vienna, Austria	16.181831	48.1179068	16.5775131	48.3226679
Asia	103.9999997	56.0000002			Asia	103.9999997	56.0000002	103.9999997	56.0000002
Slovenia	14.6263257	46.1490345	Slovenia	si	Slovenia	13.3754696	45.4214241	16.5967701	46.8766815
New Zealand	174.1572406	-40.9587973	New Zealand	nz	New Zealand	165.5533714	-52.8213687	-175.541422	-29.0303303
Tokyo	139.2947745	34.2255804	Japan	jp	Tokyo, Japan	135.8536854	20.214581	154.205541	35.8984245
Peru	-76.2775464	-10.1399415	Peru	pe	Peru	-84.6356535	-20.1984472	-68.6519906	-0.0392818
Ireland	-8.1227485	53.4294999	Ireland	ie	Ireland	-11.0133788	51.2219999	-5.6582363	55.636
Malaysia	101.8721699	3.9738696	Malaysia	my	Malaysia	98.9372144	0.8538209	119.4390875	7.5111988
South Africa	24.0868069	-28.5794088	South Africa	za	South Africa	16.3335212	-47.1788335	38.2898954	-22.1250302
Pennsylvania	-77.7403035	41.1158371	United States of America	us	Pennsylvania, United States of America	-80.5210834	39.7197662	-74.6895021	42.5146891
Texas	-99.6829526	31.16857	United States of America	us	Texas, United States of America	-106.6456461	25.8370599	-93.5078218	36.5004528
New York City	-73.8784155	40.6930727	United States of America	us	New York City, New York, United States of America	-74.2590901	40.4773989	-73.7001809	40.9161785
Lithuania	24.1836807	55.1732889	Lithuania	lt	Lithuania	20.6537829	53.8967893	26.8355198	56.4504213
Chicago	-87.6717326	41.8334501	United States of America	us	Chicago, Illinois, United States of America	-87.940101	41.643919	-87.5239841	42.0230219
Thailand	100.8032675	13.03884	Thailand	th	Thailand	97.3438071	5.612851	105.6368119	20.4648336
Song	12.642119	9.7789797	Nigeria	ng	Song, Adamawa, Nigeria	12.193944	9.5216694	13.0931845	10.0449715
Song	112.5512651	2.0100312	Malaysia	my	Song, Sarawak, Malaysia	112.5512651	2.0100312	112.5512651	2.0100312
Venezuela	-65.5224418	6.6819519	Venezuela	ve	Venezuela	-73.3529633	0.647529	-59.5427079	15.915843
Illinois	-89.4513218	39.7387829	United States of America	us	Illinois, United States of America	-91.5130519	36.9701313	-87.0199244	42.5082425
Massachusetts	-71.4455216	42.0379283	United States of America	us	Massachusetts, United States of America	-73.508142	41.1888588	-69.8601043	42.8867135
Madrid	-3.6858229	40.4777915	Spain	es	Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, Community of Madrid, Spain	-3.8889539	40.3119774	-3.5179163	40.6437293
Morocco	-10.049781	28.6905051	Morocco	ma	Morocco	-17.2551457	21.336532	-0.998429	36.0505269
Munich	11.5258083	48.1545737	Germany	de	Munich, Upper Bavaria, Bavaria, Germany	11.360777	48.0616244	11.7229083	48.2481162
Florida	-81.6209876	27.6984467	United States of America	us	Florida, United States of America	-87.634896	24.396308	-79.974306	31.000968
Ohio	-82.706293	40.3632525	United States of America	us	Ohio, United States of America	-84.8203361	38.4031418	-80.518991	42.3232364
New York	-76.2120818	42.748049	United States of America	us	New York, United States of America	-79.761944	40.4773989	-71.7955694	45.015861
Vietnam	108.1311854	15.7868541	Vietnam	vn	Vietnam	102.14441	8.1790664	114.3337595	23.3933949
Cuba	-80.1142033	21.5551107	Cuba	cu	Cuba	-85.1679703	19.6275294	-73.9190005	23.4816972
Kazakhstan	66.3231668	48.0244047	Kazakhstan	kz	Kazakhstan	46.492161	40.5686475	87.3156315	55.4804002
Singapore	103.8632309	1.3004245	Singapore	sg	Singapore	103.5666667	1.130361	104.5706794	1.5131601
Milan	9.1723562	45.4612939	Italy	it	Milan, Milan, Lombardy, Italy	9.0408867	45.386738	9.2781102	45.5358482
Barcelona	2.1528144	41.3942105	Spain	es	Barcelona, Barcelonès, Barcelona, Catalonia, Spain	2.0524976	41.3170352	2.2283555	41.468252
Iraq	42.5141497	33.22101	Iraq	iq	Iraq	38.7936719	29.0612087	48.8412701	37.380932
Bavaria	12.0480277	48.9175109	Germany	de	Bavaria, Germany	8.9763496	47.2701114	13.8396372	50.5647141
Prague	14.4464592	50.0596287	Czech Republic	cz	Prague, okres Hlavní město Praha, Hlavní město Praha, Prague, Czechia	14.2244355	49.9419006	14.7067869	50.1774301
Hlavní město Praha	14.4464592	50.0596287	Czech Republic	cz	Hlavní město Praha, Prague, Czechia	14.2244355	49.9419006	14.7067869	50.1774301
okres Hlavní město Praha	14.4464592	50.0596287	Czech Republic	cz	okres Hlavní město Praha, Hlavní město Praha, Prague, Czechia	14.2244355	49.9419006	14.7067869	50.1774301
Warszawa	21.0714155	52.2337171	Poland	pl	Warszawa, Masovian Voivodeship, Poland	20.8516881	52.0978506	21.2711512	52.368153
Warszawa	21.0714155	52.2337171	Poland	pl	Warszawa, Warszawa, Masovian Voivodeship, Poland	20.8516881	52.0978506	21.2711512	52.368153
Algeria	0.6055387	28.1420115	Algeria	dz	Algeria	-8.668908	18.9681469	11.997337	37.2962054
Syria	38.4266844	34.8152564	Syria	sy	Syria	35.4714426	32.311354	42.3745686	37.3184589
Taiwan	120.5238804	23.7043999	Taiwan	tw	Taiwan	114.3599212	10.3742689	122.2969999	26.4015754
臺灣	120.8353631	23.5982978	Taiwan	tw	臺灣, Taiwan	120.0341882	21.8968598	122.0064049	25.2997352
Budapest	19.1460728	47.4813895	Hungary	hu	Budapest, Budapest, Central Hungary, Central Hungary, Hungary	18.9251057	47.3496898	19.3349258	47.6131468
Budapest	19.1460728	47.4813895	Hungary	hu	Budapest, Central Hungary, Central Hungary, Hungary	18.9251057	47.3496898	19.3349258	47.6131468
Afghanistan	65.2042241	33.9342049	Afghanistan	af	Afghanistan	60.5176034	29.3772	74.889862	38.4910682
Ecuador	-78.5039502	-1.776685	Ecuador	ec	Ecuador	-92.2072392	-5.0159315	-75.192504	1.8835963
Wales	-3.8275007	52.4320079	United Kingdom	gb	Wales, United Kingdom	-5.8077297	51.2290265	-2.6498626	53.635
Uruguay	-55.679799	-32.9332061	Uruguay	uy	Uruguay	-58.4948439	-35.7824481	-53.0755833	-30.0853963
